PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	C_chamfer_length(in)	Material	Reference	Edition
ASME B18.8.2 PIN 3/16 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	3/4	0.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	13/16	0.813	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	7/8	0.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	15/16	0.938	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1	1.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1_1/8	1.125	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1_1/4	1.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1_3/8	1.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1_1/2	1.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1_5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1_5/8	1.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1_3/4	1.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1_7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1_7/8	1.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	2	2.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1/4	0.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 5/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_5/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	5/16	0.313	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	3/8	0.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	7/16	0.438	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1/2	0.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	9/16	0.563	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	5/8	0.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	11/16	0.688	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	3/4	0.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	13/16	0.813	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	7/8	0.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	15/16	0.938	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1	1.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1_1/8	1.125	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1_1/4	1.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1_3/8	1.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1_1/2	1.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1_5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1_5/8	1.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1_3/4	1.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 1_7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_1_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	1_7/8	1.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/32 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/32_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/32	0.219	0.219	2	2.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	1/4	0.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 5/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_5/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	5/16	0.313	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	3/8	0.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	7/16	0.438	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	1/2	0.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	9/16	0.563	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	5/8	0.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	11/16	0.688	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	3/4	0.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	13/16	0.813	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	7/8	0.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	15/16	0.938	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	1	1.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	1_1/8	1.125	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	1_1/4	1.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	1_3/8	1.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	1_1/2	1.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	1_3/4	1.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	2	2.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 2_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_2_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	2_1/4	2.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/4 x 2_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/4_x_2_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/4	0.25	0.25	2_1/2	2.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 5/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_5/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	5/16	0.313	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	3/8	0.375	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	7/16	0.438	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	1/2	0.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	9/16	0.563	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	5/8	0.625	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	11/16	0.688	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	3/4	0.75	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	13/16	0.813	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	7/8	0.875	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	15/16	0.938	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	1	1.0	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	1_1/8	1.125	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	1_1/4	1.25	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	1_3/8	1.375	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	1_1/2	1.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	1_3/4	1.75	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	2	2.0	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 2_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_2_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	2_1/4	2.25	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/16 x 2_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/16_x_2_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/16	0.312	0.313	2_1/2	2.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	3/8	0.375	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	7/16	0.438	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	1/2	0.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	9/16	0.563	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	5/8	0.625	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	11/16	0.688	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	3/4	0.75	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	13/16	0.813	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	7/8	0.875	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	15/16	0.938	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	1	1.0	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	1_1/8	1.125	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	1_1/4	1.25	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	1_3/8	1.375	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	1_1/2	1.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	1_3/4	1.75	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	2	2.0	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 2_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_2_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	2_1/4	2.25	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/8 x 2_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/8_x_2_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/8	0.375	0.375	2_1/2	2.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	7/16	0.438	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	1/2	0.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	9/16	0.563	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	5/8	0.625	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	11/16	0.688	0.04	St	ASMEB18.8.2	2000
