PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	multiplier	LT_Nom_Thread_Len(in)	Length(ref)	L_Length(in)	E_full_size_body_max_dia(in)	E_full_size_body_min_dia(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	R_radius_of_fillet_max(in)	R_radius_of_fillet_min(in)	Material	Reference	Edition
ASME B18.2.1  BOLT 1/4 x 2.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_2.75_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	2  3/4 	2.75	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 3 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_3_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	3      	3.0	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 3.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_3.25_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	3  1/4 	3.25	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 3.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_3.5_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	3  1/2 	3.5	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 3.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_3.75_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	3  3/4 	3.75	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 4 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_4_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	4      	4.0	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 4.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_4.25_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	4  1/4 	4.25	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 4.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_4.5_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	4  1/2 	4.5	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 4.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_4.75_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	4  3/4 	4.75	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 1/4 x 5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_1/4_x_5_UNC_STEEL_HEXAGON_HEAD_BOLT	1/4	0.25	20	0.05	0.75	2.5	0.75	5      	5.0	0.26	0.237	0.438	0.438	0.425	0.505	0.484	0.172	0.188	0.15	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 0.375 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_0.375_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.2361	2.5	0.875	  3/8 	0.375	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 0.437 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_0.437_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.2981	2.5	0.875	  7/16	0.437	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 0.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_0.5_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.3611	2.5	0.875	  1/2 	0.5	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 0.562 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_0.562_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.4231	2.5	0.875	  9/16	0.562	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 0.625 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_0.625_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.4861	2.5	0.875	  5/8 	0.625	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 0.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_0.75_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.6111	2.5	0.875	  3/4 	0.75	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 0.875 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_0.875_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.7361	2.5	0.875	  7/8 	0.875	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 1 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_1_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.8611	2.5	0.875	1      	1.0	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 1.125 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_1.125_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	1  1/8 	1.125	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 1.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_1.25_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	1  1/4 	1.25	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 1.375 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_1.375_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	1  3/8 	1.375	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 1.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_1.5_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	1  1/2 	1.5	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 1.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_1.75_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	1  3/4 	1.75	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 2 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_2_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	2      	2.0	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 2.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_2.25_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	2  1/4 	2.25	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 2.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_2.75_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	2  3/4 	2.75	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 3 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_3_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	3      	3.0	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 3.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_3.25_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	3  1/4 	3.25	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 3.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_3.5_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	3  1/2 	3.5	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 3.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_3.75_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	3  3/4 	3.75	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 4 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_4_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	4      	4.0	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 4.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_4.25_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	4  1/4 	4.25	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 4.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_4.5_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	4  1/2 	4.5	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 4.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_4.75_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	4  3/4 	4.75	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 5/16 x 5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_5/16_x_5_UNC_STEEL_HEXAGON_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	2.5	0.875	5      	5.0	0.324	0.298	0.5	0.5	0.484	0.577	0.552	0.219	0.235	0.195	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 0.375 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_0.375_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	0.2188	2.5	1.0	  3/8 	0.375	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 0.437 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_0.437_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	0.2808	2.5	1.0	  7/16	0.437	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 0.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_0.5_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	0.3438	2.5	1.0	  1/2 	0.5	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 0.562 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_0.562_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	0.4058	2.5	1.0	  9/16	0.562	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 0.625 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_0.625_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	0.4688	2.5	1.0	  5/8 	0.625	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 0.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_0.75_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	0.5938	2.5	1.0	  3/4 	0.75	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 0.875 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_0.875_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	0.7188	2.5	1.0	  7/8 	0.875	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 1 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_1_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	0.8438	2.5	1.0	1      	1.0	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 1.125 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_1.125_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	0.9688	2.5	1.0	1  1/8 	1.125	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 1.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_1.25_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	1  1/4 	1.25	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 1.375 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_1.375_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	1  3/8 	1.375	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 1.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_1.5_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	1  1/2 	1.5	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 1.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_1.75_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	1  3/4 	1.75	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 2 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_2_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	2      	2.0	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 2.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_2.25_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	2  1/4 	2.25	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 2.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_2.75_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	2  3/4 	2.75	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 3 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_3_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	3      	3.0	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 3.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_3.25_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	3  1/4 	3.25	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 3.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_3.5_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	3  1/2 	3.5	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 3.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_3.75_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	3  3/4 	3.75	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 4 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_4_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	4      	4.0	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 4.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_4.25_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	4  1/4 	4.25	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 4.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_4.5_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	4  1/2 	4.5	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 4.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_4.75_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	4  3/4 	4.75	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 3/8 x 5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_3/8_x_5_UNC_STEEL_HEXAGON_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	2.5	1.0	5      	5.0	0.388	0.36	0.563	0.562	0.544	0.65	0.62	0.25	0.268	0.226	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 0.437 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_0.437_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	0.2584	2.5	1.125	  7/16	0.437	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 0.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_0.5_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	0.3214	2.5	1.125	  1/2 	0.5	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 0.562 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_0.562_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	0.3834	2.5	1.125	  9/16	0.562	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 0.625 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_0.625_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	0.4464	2.5	1.125	  5/8 	0.625	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 0.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_0.75_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	0.5714	2.5	1.125	  3/4 	0.75	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 0.875 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_0.875_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	0.6964	2.5	1.125	  7/8 	0.875	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 1 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_1_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	0.8214	2.5	1.125	1      	1.0	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 1.125 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_1.125_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	0.9464	2.5	1.125	1  1/8 	1.125	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 1.25 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_1.25_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	1.0714	2.5	1.125	1  1/4 	1.25	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 1.375 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_1.375_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	2.5	1.125	1  3/8 	1.375	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 1.5 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_1.5_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	2.5	1.125	1  1/2 	1.5	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1  BOLT 7/16 x 1.75 UNC STEEL HEXAGON HEAD	ASME_B18_2_1_7/16_x_1.75_UNC_STEEL_HEXAGON_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	2.5	1.125	1  3/4 	1.75	0.452	0.421	0.625	0.625	0.603	0.722	0.687	0.297	0.316	0.272	0.03	0.01	St	ASME B18.2.1	1996
