PartNumber	PartName	Nominal_size(ref)	Basic_shoulder_dia(in)	D_shoulder_dia(in)	Length(ref)	L_length(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_Hex_scocket_Size(in)	T_key_engagement(in)	M_fillettransition_dia(in)	R_heda_fillet_radius(in)	K_shoulder_neck_dia(in)	F_shoulder_neck_width(in)	D1_nominal_thread_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	G_thread_neck_dia(in)	I_thread_neck_width(in)	N_thread_neck_fillet(in)	E_thread_length(in)	Material	Reference	Edition
ASME B.18.3 SCREW 5/16 x 1.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	1  1/4 	1.25	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 1.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	1  1/2 	1.5	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 1.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	1  3/4 	1.75	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 2 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	2      	2.0	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 2.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	2  1/4 	2.25	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 2.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	2  1/2 	2.5	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 2.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	2  3/4 	2.75	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 3 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	3      	3.0	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 3.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	3  1/4 	3.25	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 3.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	3  1/2 	3.5	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 3.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_3.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	3  3/4 	3.75	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 4 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	4      	4.0	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 4.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_4.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	4  1/4 	4.25	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 4.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	4  1/2 	4.5	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 4.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_4.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	4  3/4 	4.75	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	5      	5.0	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 5.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_5.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	5  1/2 	5.5	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 6 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_6_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	6      	6.0	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 6.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_6.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	6  1/2 	6.5	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 0.375 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	  3/8 	0.375	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 0.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	  1/2 	0.5	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 0.625 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	  5/8 	0.625	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 0.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	  3/4 	0.75	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 1 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	1      	1.0	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 1.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	1  1/4 	1.25	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 1.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	1  1/2 	1.5	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 1.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	1  3/4 	1.75	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 2 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	2      	2.0	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 2.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	2  1/4 	2.25	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 2.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	2  1/2 	2.5	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
