PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	A_head_dia_absolute_min(in)	F_flat_head_dia_max(in)	H_head_height_max(in)	H_head_height_min(in)	J_Slot_Width_max(in)	J_slot_width_min(in)	T_slot_Depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ANSI B18.5 BOLT 1/4 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	2      	2.0	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	2  1/4 	2.25	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	2  3/4 	2.75	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	3      	3.0	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	3  1/4 	3.25	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	3  1/2 	3.5	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	3  3/4 	3.75	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	4      	4.0	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	4  1/4 	4.25	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	4  1/2 	4.5	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	4  3/4 	4.75	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/4 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/4_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.275	5      	5.0	0.26	0.237	0.493	0.477	0.445	0.018	0.15	0.131	0.075	0.064	0.068	0.045	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 0.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_0.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.172	0.875	0.328	  1/2 	0.5	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 0.625 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_0.625_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.297	0.875	0.328	  5/8 	0.625	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 0.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_0.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.422	0.875	0.328	  3/4 	0.75	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 0.875 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_0.875_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.547	0.875	0.328	  7/8 	0.875	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 1 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_1_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.672	0.875	0.328	1      	1.0	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 1.125 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_1.125_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.797	0.875	0.328	1  1/8 	1.125	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 1.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_1.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	1  1/4 	1.25	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 1.375 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_1.375_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	1  3/8 	1.375	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 1.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_1.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	1  1/2 	1.5	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 1.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_1.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	1  3/4 	1.75	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	2      	2.0	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	2  1/4 	2.25	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	2  3/4 	2.75	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
