PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_height_max(in)	H_head_height_min(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	U_fillet_radius_max(in)	U_fillet_radius_min(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 1/4 x 1.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_1.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  1/2 	1.5	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_1.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  3/4 	1.75	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_2_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	2      	2.0	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_2.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	2  1/4 	2.25	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_2.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	2  3/4 	2.75	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_3_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	3      	3.0	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_3.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	3  1/4 	3.25	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_3.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	3  1/2 	3.5	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_3.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	3  3/4 	3.75	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_4_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	4      	4.0	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_4.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	4  1/4 	4.25	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_4.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	4  1/2 	4.5	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_4.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	4  3/4 	4.75	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	5      	5.0	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_0.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.111	0.875	0.139	  1/4 	0.25	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.375 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_0.375_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.236	0.875	0.139	  3/8 	0.375	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_0.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.361	0.875	0.139	  1/2 	0.5	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.625 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_0.625_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.486	0.875	0.139	  5/8 	0.625	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_0.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.611	0.875	0.139	  3/4 	0.75	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.875 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_0.875_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.736	0.875	0.139	  7/8 	0.875	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_1_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.861	0.875	0.139	1      	1.0	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.125 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_1.125_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  1/8 	1.125	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_1.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  1/4 	1.25	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.375 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_1.375_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  3/8 	1.375	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_1.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  1/2 	1.5	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_1.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  3/4 	1.75	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_2_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	2      	2.0	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_2.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	2  1/4 	2.25	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_2.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	2  3/4 	2.75	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_3_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	3      	3.0	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_3.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	3  1/4 	3.25	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_3.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	3  1/2 	3.5	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_3.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	3  3/4 	3.75	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_4_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	4      	4.0	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_4.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	4  1/4 	4.25	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_4.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	4  1/2 	4.5	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_4.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	4  3/4 	4.75	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_5/16_x_5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.139	5      	5.0	0.313	0.307	0.562	0.54	0.245	0.226	0.084	0.072	0.151	0.126	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.375 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_0.375_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.219	1.0	0.156	  3/8 	0.375	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_0.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.344	1.0	0.156	  1/2 	0.5	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.625 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_0.625_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.469	1.0	0.156	  5/8 	0.625	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_0.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.594	1.0	0.156	  3/4 	0.75	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.875 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_0.875_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.719	1.0	0.156	  7/8 	0.875	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_1_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.844	1.0	0.156	1      	1.0	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.125 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_1.125_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.969	1.0	0.156	1  1/8 	1.125	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_1.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	1  1/4 	1.25	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.375 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_1.375_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	1  3/8 	1.375	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_1.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	1  1/2 	1.5	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_1.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	1  3/4 	1.75	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_2_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	2      	2.0	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_2.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	2  1/4 	2.25	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_2.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	2  3/4 	2.75	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_3_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	3      	3.0	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_3.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	3  1/4 	3.25	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_3/8_x_3.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	3  1/2 	3.5	0.375	0.369	0.625	0.603	0.273	0.252	0.094	0.081	0.168	0.138	0.031	0.016	St	ASME_B18.6.2	1998
