PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	multiplier	LT_Nom_Thread_Len(in)	Length(ref)	L_length(in)	E_full_size_body_max_dia(in)	E_full_size_body_min_dia(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	R_radius_of_fillet_max(in)	R_radius_of_fillet_min(in)	Material	Reference	Edition
ASME B18.2.1 BOLT 1/2 x 0.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_0.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	0.308	2.5	1.25	  1/2 	0.5	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 0.562 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_0.562_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	0.37	2.5	1.25	  9/16	0.562	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 0.625 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_0.625_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	0.433	2.5	1.25	  5/8 	0.625	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 0.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_0.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	0.558	2.5	1.25	  3/4 	0.75	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 0.875 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_0.875_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	0.683	2.5	1.25	  7/8 	0.875	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 1 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_1_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	0.808	2.5	1.25	1      	1.0	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 1.125 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_1.125_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	0.933	2.5	1.25	1  1/8 	1.125	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 1.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_1.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.058	2.5	1.25	1  1/4 	1.25	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 1.375 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_1.375_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.183	2.5	1.25	1  3/8 	1.375	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 1.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_1.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	1  1/2 	1.5	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 1.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_1.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	1  3/4 	1.75	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 2 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_2_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	2      	2.0	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 2.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_2.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	2  1/4 	2.25	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 2.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_2.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	2  3/4 	2.75	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 3 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_3_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	3      	3.0	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 3.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_3.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	3  1/4 	3.25	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 3.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_3.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	3  1/2 	3.5	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 3.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_3.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	3  3/4 	3.75	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 4 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_4_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	4      	4.0	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 4.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_4.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	4  1/4 	4.25	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 4.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_4.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	4  1/2 	4.5	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 4.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_4.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	4  3/4 	4.75	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_5_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	5      	5.0	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 5.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_5.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	5  1/2 	5.5	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 1/2 x 6 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_1/2_x_6_UNC_STEEL_HEAVY_HEXAGON_BOLT	1/2	0.5	13	0.0769	1.25	2.5	1.25	6      	6.0	0.515	0.482	0.875	0.875	0.85	1.01	0.969	0.344	0.364	0.302	0.03	0.01	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 0.625 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_0.625_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	0.398	2.5	1.5	  5/8 	0.625	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 0.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_0.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	0.523	2.5	1.5	  3/4 	0.75	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 0.875 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_0.875_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	0.648	2.5	1.5	  7/8 	0.875	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 1 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_1_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	0.773	2.5	1.5	1      	1.0	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 1.125 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_1.125_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	0.898	2.5	1.5	1  1/8 	1.125	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 1.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_1.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.023	2.5	1.5	1  1/4 	1.25	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 1.375 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_1.375_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.148	2.5	1.5	1  3/8 	1.375	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 1.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_1.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.273	2.5	1.5	1  1/2 	1.5	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 1.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_1.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	1  3/4 	1.75	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 2 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_2_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	2      	2.0	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 2.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_2.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	2  1/4 	2.25	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 2.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_2.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	2  3/4 	2.75	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 3 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_3_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	3      	3.0	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 3.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_3.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	3  1/4 	3.25	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 3.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_3.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	3  1/2 	3.5	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 3.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_3.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	3  3/4 	3.75	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 4 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_4_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	4      	4.0	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 4.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_4.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	4  1/4 	4.25	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 4.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_4.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	4  1/2 	4.5	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 4.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_4.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	4  3/4 	4.75	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_5_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	5      	5.0	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 5.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_5.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	5  1/2 	5.5	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 5/8 x 6 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_5/8_x_6_UNC_STEEL_HEAVY_HEXAGON_BOLT	5/8	0.625	11	0.0909	1.5	2.5	1.5	6      	6.0	0.642	0.605	1.063	1.062	1.031	1.227	1.175	0.422	0.444	0.378	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 0.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_0.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	0.5	2.5	1.75	  3/4 	0.75	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 0.875 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_0.875_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	0.625	2.5	1.75	  7/8 	0.875	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 1 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_1_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	0.75	2.5	1.75	1      	1.0	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 1.125 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_1.125_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	0.875	2.5	1.75	1  1/8 	1.125	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 1.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_1.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.0	2.5	1.75	1  1/4 	1.25	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 1.375 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_1.375_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.125	2.5	1.75	1  3/8 	1.375	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 1.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_1.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.25	2.5	1.75	1  1/2 	1.5	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 1.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_1.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.5	2.5	1.75	1  3/4 	1.75	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 2 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_2_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	2      	2.0	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 2.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_2.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	2  1/4 	2.25	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 2.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_2.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	2  3/4 	2.75	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 3 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_3_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	3      	3.0	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 3.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_3.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	3  1/4 	3.25	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 3.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_3.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	3  1/2 	3.5	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 3.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_3.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	3  3/4 	3.75	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 4 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_4_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	4      	4.0	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 4.25 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_4.25_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	4  1/4 	4.25	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 4.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_4.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	4  1/2 	4.5	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 4.75 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_4.75_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	4  3/4 	4.75	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_5_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	5      	5.0	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 5.5 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_5.5_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	5  1/2 	5.5	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 3/4 x 6 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_3/4_x_6_UNC_STEEL_HEAVY_HEXAGON_BOLT	3/4	0.75	10	0.1	1.75	2.5	1.75	6      	6.0	0.768	0.729	1.25	1.25	1.212	1.443	1.383	0.5	0.524	0.455	0.06	0.02	St	ASME B18.2.1	1996
ASME B18.2.1 BOLT 7/8 x 0.875 UNC STEEL HEAVY HEXAGON	ASME_B_18_2_1_7/8_x_0.875_UNC_STEEL_HEAVY_HEXAGON_BOLT	7/8	0.875	9	0.1111	0.597	2.5	2.0	  7/8 	0.875	0.895	0.852	1.438	1.438	1.394	1.66	1.589	0.578	0.604	0.531	0.06	0.02	St	ASME B18.2.1	1996
