PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_bolt_length(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	k_max_head_depth(mm)	k_head_edge_length(mm)	dw(mm)	r_min(mm)	c_min(mm)	c__max(mm)	da_max(mm)	ds_max_nom(mm)	e_acrosscorner_min(mm)	lf_max(mm)	Grade	Material	Reference	Edition
JIS B 1180 BOLT M45x400 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x400_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	400.0	70.0	262.5	285.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x420 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x420_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	420.0	70.0	282.5	305.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x440 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x440_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	440.0	70.0	302.5	325.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x200 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x200_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	116.0	200.0	80.0	59.0	84.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x220 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x220_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	220.0	80.0	66.0	91.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x240 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x240_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	240.0	80.0	86.0	111.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x260 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x260_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	260.0	80.0	106.0	131.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x280 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x280_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	280.0	80.0	126.0	151.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x300 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x300_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	300.0	80.0	146.0	171.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x320 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x320_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	320.0	80.0	166.0	191.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x340 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x340_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	340.0	80.0	186.0	211.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x360 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x360_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	360.0	80.0	206.0	231.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x380 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x380_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	380.0	80.0	226.0	251.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x400 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x400_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	400.0	80.0	246.0	271.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x420 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x420_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	420.0	80.0	266.0	291.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x440 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x440_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	440.0	80.0	286.0	311.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x460 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x460_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	460.0	80.0	306.0	331.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x480 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x480_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	480.0	80.0	326.0	351.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M52x500 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x500_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	500.0	80.0	346.0	371.0	33.5	22.75	74.2	1.6	0.3	1.0	56.6	52.0	88.25	10.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x240 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x240_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	240.0	90.0	67.5	95.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x260 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x260_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	260.0	90.0	87.5	115.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x280 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x280_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	280.0	90.0	107.5	135.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x300 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x300_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	300.0	90.0	127.5	155.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x320 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x320_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	320.0	90.0	147.5	175.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x340 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x340_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	340.0	90.0	167.5	195.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x360 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x360_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	360.0	90.0	187.5	215.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x380 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x380_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	380.0	90.0	207.5	235.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x400 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x400_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	400.0	90.0	227.5	255.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x420 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x420_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	420.0	90.0	247.5	275.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x440 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x440_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	440.0	90.0	267.5	295.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x460 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x460_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	460.0	90.0	287.5	315.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x480 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x480_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	480.0	90.0	307.5	335.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M60x500 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x500_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	500.0	90.0	327.5	355.0	38.5	26.25	83.41	2.0	0.3	1.0	67.0	60.0	99.21	12.0	B	St	JIS B 1180	1994
