PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	a_max(mm)	dk_nom(mm)	k_max(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Recess_width(mm)	Shank_dia(mm)	type	Series	Material	Reference	Edition
EN ISO 7046-2 SCREW M2x3-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x3-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	1.29	3.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x4-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x4-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	2.29	4.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x5-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x5-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	3.29	5.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x6-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x6-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	4.29	6.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x8-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x8-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	6.29	8.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x10-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x10-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	8.29	10.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x12-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x12-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	10.29	12.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x14-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x14-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	12.29	14.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x16-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x16-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	14.29	16.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x20-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x20-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	18.29	20.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x25-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x25-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	23.19	25.0	25.0	0.9	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x30-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x30-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	28.19	30.0	25.0	0.9	3.8	0.91	0.5	1.0	1.9	1.2	0.35	1.98	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x3-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x3-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	0.988	3.0	25.0	0.9	4.7	1.113	0.6	1.1	2.9	1.8	0.55	2.475	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x4-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x4-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	1.988	4.0	25.0	0.9	4.7	1.113	0.6	1.1	2.9	1.8	0.55	2.475	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x5-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x5-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	2.988	5.0	25.0	0.9	4.7	1.113	0.6	1.1	2.9	1.8	0.55	2.475	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x6-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x6-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	3.988	6.0	25.0	0.9	4.7	1.113	0.6	1.1	2.9	1.8	0.55	2.475	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x8-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x8-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	5.988	8.0	25.0	0.9	4.7	1.113	0.6	1.1	2.9	1.8	0.55	2.475	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x10-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x10-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	7.988	10.0	25.0	0.9	4.7	1.113	0.6	1.1	2.9	1.8	0.55	2.475	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x12-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x12-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	9.988	12.0	25.0	0.9	4.7	1.113	0.6	1.1	2.9	1.8	0.55	2.475	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x14-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x14-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	11.988	14.0	25.0	0.9	4.7	1.113	0.6	1.1	2.9	1.8	0.55	2.475	H	1.0	St	EN ISO 7046-2	1994
