PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	P_pen_min(mm)	L_len_nom(mm)	Ds_dia_min(mm)	Dk_dia_max(mm)	Dk_dia_min(mm)	K_hd_hgt(mm)	O_raised_hd_max(mm)	Rf_head_rad(mm)	R_u_head_max(mm)	R_u_head_min(mm)	M_recess_ref(mm)	T_Recess_ref(mm)	Driver_size	lu_head(mm)	Dp_min(mm)	Recess_type	Material	Reference	Edition
ASME B18.6.7M SCREW M2.5x4 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M2.5x4_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M2.5	2.5	0.45	2.0	0.71	4.0	2.12	4.7	4.4	1.5	0.6	6.6	1.0	0.5	1.78	1.68	0.0	0.5	1.57	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x5 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M2.5x5_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M2.5	2.5	0.45	3.0	0.71	5.0	2.12	4.7	4.4	1.5	0.6	6.6	1.0	0.5	1.78	1.68	0.0	0.5	1.57	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x6 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M2.5x6_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M2.5	2.5	0.45	4.0	0.71	6.0	2.12	4.7	4.4	1.5	0.6	6.6	1.0	0.5	1.78	1.68	0.0	0.5	1.57	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x8 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M2.5x8_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M2.5	2.5	0.45	6.0	0.71	8.0	2.12	4.7	4.4	1.5	0.6	6.6	1.0	0.5	1.78	1.68	0.0	0.5	1.57	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x10 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M2.5x10_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M2.5	2.5	0.45	7.6	0.71	10.0	2.12	4.7	4.4	1.5	0.6	6.6	1.0	0.5	1.78	1.68	0.0	0.9	1.57	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x13 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M2.5x13_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M2.5	2.5	0.45	10.6	0.71	13.0	2.12	4.7	4.4	1.5	0.6	6.6	1.0	0.5	1.78	1.68	0.0	0.9	1.57	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x16 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M2.5x16_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M2.5	2.5	0.45	13.6	0.71	16.0	2.12	4.7	4.4	1.5	0.6	6.6	1.0	0.5	1.78	1.68	0.0	0.9	1.57	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x20 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M2.5x20_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M2.5	2.5	0.45	17.6	0.71	20.0	2.12	4.7	4.4	1.5	0.6	6.6	1.0	0.5	1.78	1.68	0.0	0.9	1.57	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M2.5x25 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M2.5x25_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M2.5	2.5	0.45	22.6	0.71	25.0	2.12	4.7	4.4	1.5	0.6	6.6	1.0	0.5	1.78	1.68	0.0	0.9	1.57	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x5 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3x5_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3	3.0	0.5	2.8	0.71	5.0	2.58	5.5	5.2	1.7	0.7	7.4	1.2	0.6	1.78	1.68	0.0	0.5	1.93	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x6 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3x6_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3	3.0	0.5	3.8	0.71	6.0	2.58	5.5	5.2	1.7	0.7	7.4	1.2	0.6	1.78	1.68	0.0	0.5	1.93	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x8 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3x8_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3	3.0	0.5	5.8	0.71	8.0	2.58	5.5	5.2	1.7	0.7	7.4	1.2	0.6	1.78	1.68	0.0	0.5	1.93	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x10 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3x10_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3	3.0	0.5	7.3	0.71	10.0	2.58	5.5	5.2	1.7	0.7	7.4	1.2	0.6	1.78	1.68	0.0	1.0	1.93	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x13 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3x13_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3	3.0	0.5	10.3	0.71	13.0	2.58	5.5	5.2	1.7	0.7	7.4	1.2	0.6	1.78	1.68	0.0	1.0	1.93	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x16 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3x16_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3	3.0	0.5	13.3	0.71	16.0	2.58	5.5	5.2	1.7	0.7	7.4	1.2	0.6	1.78	1.68	0.0	1.0	1.93	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x20 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3x20_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3	3.0	0.5	17.3	0.71	20.0	2.58	5.5	5.2	1.7	0.7	7.4	1.2	0.6	1.78	1.68	0.0	1.0	1.93	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x25 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3x25_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3	3.0	0.5	22.3	0.71	25.0	2.58	5.5	5.2	1.7	0.7	7.4	1.2	0.6	1.78	1.68	0.0	1.0	1.93	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3x30 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3x30_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3	3.0	0.5	27.3	0.71	30.0	2.58	5.5	5.2	1.7	0.7	7.4	1.2	0.6	1.78	1.68	0.0	1.0	1.93	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x6 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3.5x6_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3.5	3.5	0.6	3.1	1.01	6.0	3.0	7.3	6.9	2.3	0.8	10.9	1.4	0.7	2.31	2.69	1R	0.6	2.24	111.0	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M3.5x8 STEEL MC COUNTERSUNK OVAL HEAD RECESS TYPE 111	ASME_B18_6_7M_M3.5x8_STEEL_COUNTERSUNK_OVAL_HEAD_RECESS_TYPE_111_MC_SCREW	M3.5	3.5	0.6	5.1	1.01	8.0	3.0	7.3	6.9	2.3	0.8	10.9	1.4	0.7	2.31	2.69	1R	0.6	2.24	111.0	St	ASME 18.6.7M	1999
